index,game_id,turn_id,player_id,player_name,stage,sub_stage,stage_int,position_int,position_code_1,position_code_2,cards,flop,turn,river,action,action_int,action_flag,amount_raised,amount_required,amount_committed,amount_finish,nb_players_left,nb_previous_raise,nb_straight_player_cards,nb_straight_community_cards,nb_flush_player_cards,nb_flush_community_cards,chen_score,cards_score,pct_score,nb_pairs_community_cards,nb_sets_community_cards,nb_quads_community_cards
0,100_0,1,p3,MrWhite,preflop,1,1,3,UTG,MP,9c3d,7d5h9d,7c,Qh,F,0,0,0,100,0,10000.0,6,0,1,0,1,0,0.0,7444,0.0,0,0,0
1,100_0,2,p4,MrPink,preflop,1,1,4,MP,MP,Ah4h,7d5h9d,7c,Qh,R,2,1,210,100,0,9790.0,5,0,2,0,2,0,7.0,6678,-0.021,0,0,0
2,100_0,3,p5,MrBrown,preflop,1,1,5,CO,LP,Th5s,7d5h9d,7c,Qh,F,0,0,0,210,0,10000.0,5,0,1,0,1,0,0.0,7410,0.0,0,0,0
3,100_0,4,p6,Pluribus,preflop,1,1,6,BTN,LP,6c7s,7d5h9d,7c,Qh,F,0,0,0,210,0,10000.0,4,0,2,0,1,0,3.5,7461,0.0,0,0,0
4,100_0,5,p1,MrBlue,preflop,1,1,1,SB,EP,TcQc,7d5h9d,7c,Qh,C,1,1,0,160,50,10310.0,3,0,2,0,2,0,9.0,7146,0.031,0,0,0
5,100_0,6,p2,MrBlonde,preflop,1,1,2,BB,EP,8s4c,7d5h9d,7c,Qh,F,0,0,0,110,100,9900.0,3,0,2,0,1,0,0.0,7458,-0.01,0,0,0
6,100_0,19,p1,MrBlue,flop,1,4,1,SB,EP,TcQc,7d5h9d,7c,Qh,C,1,1,0,0,210,10310.0,2,0,3,3,2,2,9.0,7098,0.031,0,0,0
7,100_0,22,p4,MrPink,flop,1,4,4,MP,MP,Ah4h,7d5h9d,7c,Qh,C,1,1,0,0,210,9790.0,2,1,3,3,3,2,7.0,6629,-0.021,0,0,0
8,100_0,37,p1,MrBlue,turn,1,7,1,SB,EP,TcQc,7d5h9d,7c,Qh,C,1,1,0,0,210,10310.0,2,0,3,3,3,2,9.0,4974,0.031,1,0,0
9,100_0,40,p4,MrPink,turn,1,7,4,MP,MP,Ah4h,7d5h9d,7c,Qh,C,1,1,0,0,210,9790.0,2,1,3,3,3,2,7.0,4902,-0.021,1,0,0
10,100_0,55,p1,MrBlue,river,1,10,1,SB,EP,TcQc,7d5h9d,7c,Qh,R,2,1,230,0,210,10310.0,2,0,3,3,3,2,9.0,2768,0.031,1,0,0
11,100_0,58,p4,MrPink,river,1,10,4,MP,MP,Ah4h,7d5h9d,7c,Qh,F,0,0,0,230,210,9790.0,2,1,3,3,4,2,7.0,4878,-0.021,1,0,0
12,100_1,1,p3,MrPink,preflop,1,1,3,UTG,MP,KcJh,7s9cTc,2c,,R,2,1,210,100,0,10495.0,6,0,2,0,1,0,8.0,6881,0.0495,0,0,0
13,100_1,2,p4,MrBrown,preflop,1,1,4,MP,MP,8hQc,7s9cTc,2c,,F,0,0,0,210,0,10000.0,6,0,2,0,1,0,3.0,7201,0.0,0,0,0
14,100_1,3,p5,Pluribus,preflop,1,1,5,CO,LP,7hKh,7s9cTc,2c,,F,0,0,0,210,0,10000.0,5,0,1,0,2,0,5.0,7002,0.0,0,0,0
15,100_1,4,p6,MrBlue,preflop,1,1,6,BTN,LP,Ks3c,7s9cTc,2c,,F,0,0,0,210,0,10000.0,4,0,1,0,1,0,3.0,7007,0.0,0,0,0
16,100_1,5,p1,MrBlonde,preflop,1,1,1,SB,EP,Qh5c,7s9cTc,2c,,F,0,0,0,160,50,9950.0,3,0,1,0,1,0,2.0,7216,-0.005,0,0,0
17,100_1,6,p2,MrWhite,preflop,1,1,2,BB,EP,9h6h,7s9cTc,2c,,C,1,1,0,110,100,9555.0,2,0,2,0,2,0,4.5,7443,-0.0445,0,0,0
18,100_1,20,p2,MrWhite,flop,1,4,2,BB,EP,9h6h,7s9cTc,2c,,C,1,1,0,0,210,9555.0,2,0,4,3,2,2,4.5,4596,-0.0445,0,0,0
19,100_1,21,p3,MrPink,flop,1,4,3,UTG,MP,KcJh,7s9cTc,2c,,R,2,1,235,0,210,10495.0,2,1,4,3,3,2,8.0,6799,0.0495,0,0,0
20,100_1,26,p2,MrWhite,flop,2,5,2,BB,EP,9h6h,7s9cTc,2c,,C,1,1,0,235,210,9555.0,2,0,4,3,2,2,4.5,4596,-0.0445,0,0,0
21,100_1,38,p2,MrWhite,turn,1,7,2,BB,EP,9h6h,7s9cTc,2c,,C,1,1,0,0,445,9555.0,2,0,4,3,3,3,4.5,4596,-0.0445,0,0,0
22,100_1,39,p3,MrPink,turn,1,7,3,UTG,MP,KcJh,7s9cTc,2c,,R,2,1,600,0,445,10495.0,2,2,4,3,4,3,8.0,6799,0.0495,0,0,0
23,100_1,44,p2,MrWhite,turn,2,8,2,BB,EP,9h6h,7s9cTc,2c,,F,0,0,0,600,445,9555.0,2,0,4,3,3,3,4.5,4596,-0.0445,0,0,0
24,100_10,1,p3,MrBlue,preflop,1,1,3,UTG,MP,8h2c,4d6sTh,,,F,0,0,0,100,0,10000.0,6,0,1,0,1,0,0.0,7458,0.0,0,0,0
25,100_10,2,p4,MrBlonde,preflop,1,1,4,MP,MP,6c4h,4d6sTh,,,F,0,0,0,100,0,10000.0,5,0,2,0,1,0,2.0,7461,0.0,0,0,0
26,100_10,3,p5,MrWhite,preflop,1,1,5,CO,LP,JcQd,4d6sTh,,,R,2,1,250,100,0,10300.0,4,0,2,0,1,0,8.0,7090,0.03,0,0,0
